issue,article_slug,claim,claim_type,source_title,source_url,source_tier,date,unit,geography,denominator,method,limitations,evidence_level,verification_status,checked_by,checked_date,notes
2026-Q2,agenda,IMF projected global growth at 3.1 percent in 2026 and 3.2 percent in 2027 under its limited-conflict assumption.,statistical,IMF World Economic Outlook April 2026,https://www.imf.org/en/publications/weo/issues/2026/04/14/world-economic-outlook-april-2026,1,2026-04-14,percent,global,GDP growth projection,IMF forecast scenario,Scenario-dependent; must verify exact wording in source dossier.,high,agenda_verified,Codex,2026-06-11,Use only as agenda-level basis until dossier review.
2026-Q2,agenda,OECD projected global growth slowing from 3.4 percent in 2025 to 2.8 percent in 2026 before 3.1 percent in 2027.,statistical,OECD Economic Outlook June 2026,https://www.oecd.org/en/publications/2026/06/oecd-economic-outlook-volume-2026-issue-1_8be0dba6.html,1,2026-06-03,percent,global,GDP growth projection,OECD forecast,Forecast subject to energy and conflict assumptions.,high,agenda_verified,Codex,2026-06-11,Use in macro-fragility dossier.
2026-Q2,agenda,UNHCR estimated 117.8 million people were forcibly displaced at the end of 2025.,statistical,UNHCR Global Trends,https://www.unhcr.org/us/global-trends,1,2026-06-11,people,global,forcibly displaced persons,UNHCR annual global trends,Definitions include refugees asylum seekers IDPs and others needing protection; confirm exact categories in dossier.,high,agenda_verified,Codex,2026-06-11,Use in displacement data essay dossier.
2026-Q2,agenda,OECD reported firm-level AI adoption reached 20.2 percent in 2025 among OECD countries with available data.,statistical,OECD Artificial Intelligence,https://www.oecd.org/en/topics/policy-issues/artificial-intelligence.html,1,2026,percent,OECD countries with available data,firms,OECD AI indicator,Country coverage and comparability must be checked before article use.,moderate,agenda_verified,Codex,2026-06-11,Use in AI governance/work dossiers.
2026-Q2,agenda,Bank of Korea projected Korea's 2026 economic growth at 2.6 percent in its May 2026 outlook.,statistical,Bank of Korea Economic Outlook May 2026,https://www.bok.or.kr/eng/bbs/E0000634/view.do?depth=400423&menuNo=400423&nttId=10098207&programType=newsDataEng&relate=Y,1,2026-05-28,percent,Republic of Korea,GDP growth projection,BOK forecast,Projection revised from February; verify assumptions and inflation projection in dossier.,high,agenda_verified,Codex,2026-06-11,Use in Korea political economy dossier.
2026-Q2,ai-boom-war-economy,"IEA estimates data centres consumed around 415 TWh of electricity in 2024, about 1.5 percent of global electricity consumption.",statistical,IEA Energy and AI: Energy demand from AI,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,1,2026,TWh and percent,global,data centre electricity consumption,IEA estimate,Data centres are broader than AI-focused data centres; do not attribute all demand to AI.,high,draft_cited,Codex,2026-06-11,Used in first English draft.
2026-Q2,ai-boom-war-economy,"IEA projects data-centre electricity consumption rising from 485 TWh in 2025 to about 950 TWh in 2030, around 3 percent of global electricity demand.",statistical,IEA Key Questions on Energy and AI Executive Summary,https://www.iea.org/reports/key-questions-on-energy-and-ai/executive-summary,1,2026,TWh and percent,global,data centre electricity consumption,IEA central projection,Projection depends on deployment and electricity-system assumptions; should not be presented as certainty.,moderate,draft_cited,Codex,2026-06-11,Used in first English draft.
2026-Q2,new-macro-fragility,"World Bank described a global economy resilient to trade tensions and policy uncertainty, but with growth expected to edge down in 2026 and vulnerable emerging market and developing economies lagging.",institutional,World Bank Global Economic Prospects January 2026,https://openknowledge.worldbank.org/entities/publication/bb904ec6-730f-4dd9-b1af-ad3153ee1616,1,2026-01,qualitative outlook,global,global and EMDE outlook,World Bank report page,Do not reuse the January 2025 2.7 percent summary from related-item text as a January 2026 numerical claim.,moderate,checked,Codex,2026-06-11,Corrected before temporary publication.
2026-Q2,new-macro-fragility,IMF projected global headline inflation to rise modestly in 2026 before resuming its decline in 2027 under its April 2026 outlook assumptions.,statistical,IMF World Economic Outlook April 2026,https://www.imf.org/en/publications/weo/issues/2026/04/14/world-economic-outlook-april-2026,1,2026-04-14,trend projection,global,global headline inflation,IMF forecast scenario,Scenario-dependent and not a direct observation; verify full inflation table before final article.,moderate,draft_cited,Codex,2026-06-11,Used in second English draft.
2026-Q2,editors-note-capacity-question,The issue's source base points in the same direction. IMF and OECD forecasts describe a growing but more conditional world economy. UNHCR reports 117.8 million forcibly displaced people at the end of 2025. OECD data show firm-level AI adoption moving beyond the demonstration stage. Freedom House reports a twentieth consecutive year of global freedom decline. Korea's official sources show both strategic-sector strength and deep household formation pressure.,institutional,"International Monetary Fund, World Economic Outlook, April 2026",https://www.imf.org/en/publications/weo/issues/2026/04/14/world-economic-outlook-april-2026,1,2026,qualitative and selected statistical claims,comparative,article-specific,temporary publication source check,Temporary-publication synthesis; full issue should rerun source-level fact-checking.,moderate,checked_for_temporary_publication,Codex,2026-06-11,Generated for remaining 2026-Q2 temporary publication set.
2026-Q2,govern-ai-before-infrastructure,"The EU AI Act entered into force in 2024 and becomes broadly applicable in 2026 with staged exceptions. The UN Global Dialogue has scheduled its first session for July 2026. OECD reported that 20.2 percent of firms in countries with available data used AI in 2025. Stanford's 2026 AI Index also shows a gap between expert and public expectations, which matters because regulation requires legitimacy as well as technical design.",institutional,"United Nations, Global Dialogue on AI Governance",https://www.un.org/global-dialogue-ai-governance/en,1,2026,qualitative and selected statistical claims,global,article-specific,temporary publication source check,Temporary-publication synthesis; full issue should rerun source-level fact-checking.,moderate,checked_for_temporary_publication,Codex,2026-06-11,Generated for remaining 2026-Q2 temporary publication set.
2026-Q2,democracy-after-long-decline,Freedom House's 2026 report records a twentieth consecutive year of global freedom decline and reports 54 countries deteriorating against 35 improving. V-Dem's 2026 report identifies only 18 democratizing countries and emphasizes autocratization as a live process in influential democracies.,institutional,"Freedom House, Freedom in the World 2026",https://freedomhouse.org/report/freedom-world/2026/growing-shadow-autocracy,1,2026,qualitative and selected statistical claims,global,article-specific,temporary publication source check,Temporary-publication synthesis; full issue should rerun source-level fact-checking.,moderate,checked_for_temporary_publication,Codex,2026-06-11,Generated for remaining 2026-Q2 temporary publication set.
2026-Q2,displacement-without-settlement,UNHCR reports 117.8 million forcibly displaced people at the end of 2025 and 68.7 million internally displaced people due to conflict and violence. The agency also reports that internally displaced people account for a majority of forced displacement. Those figures make the problem institutional as much as humanitarian.,institutional,"UNHCR, Global Trends",https://www.unhcr.org/us/global-trends,1,2026,qualitative and selected statistical claims,global,article-specific,temporary publication source check,Temporary-publication synthesis; full issue should rerun source-level fact-checking.,moderate,checked_for_temporary_publication,Codex,2026-06-11,Generated for remaining 2026-Q2 temporary publication set.
2026-Q2,korea-mandate-problem-local-elections,"The National Election Commission remains the raw source for official results and turnout. For international-reader orientation, AP reported that the ruling party won most races but lost Seoul. That combination is precisely why a one-sentence national verdict is too crude.",institutional,"National Election Commission, Republic of Korea",https://www.nec.go.kr/,1,2026,qualitative and selected statistical claims,korea,article-specific,temporary publication source check,Temporary-publication synthesis; full issue should rerun source-level fact-checking.,moderate,checked_for_temporary_publication,Codex,2026-06-11,Generated for remaining 2026-Q2 temporary publication set.
2026-Q2,korea-semiconductor-recovery-welfare-state,"The Bank of Korea projected 2026 growth at 2.6 percent, a sharp upward revision from 2.0 percent, while expecting CPI inflation at 2.7 percent and warning that the outlook is uncertain around the semiconductor cycle and Middle East war. MOEF's June bulletin frames the recovery through current economic conditions. These sources support a two-sided reading: growth capacity has improved, but household and price pressures remain politically salient.",institutional,"Bank of Korea, Economic Outlook, May 2026",https://www.bok.or.kr/eng/bbs/E0000634/view.do?depth=400423&menuNo=400423&nttId=10098207&programType=newsDataEng&relate=Y,1,2026,qualitative and selected statistical claims,korea,article-specific,temporary publication source check,Temporary-publication synthesis; full issue should rerun source-level fact-checking.,moderate,checked_for_temporary_publication,Codex,2026-06-11,Generated for remaining 2026-Q2 temporary publication set.
2026-Q2,korea-fertility-housing-pronatalism,"The Ministry of Data and Statistics lists the 2025 preliminary birth and death statistics release dated February 25, 2026. Government summaries reported that births rose in 2025 and that the total fertility rate increased to 0.80 from 0.75. These figures matter, but they cannot by themselves separate cohort size, timing, marriage rebound, policy effect, and structural affordability.",institutional,"Ministry of Data and Statistics, Birth and Death press releases",https://mods.go.kr/menu.es?mid=a20108100000,1,2026,qualitative and selected statistical claims,korea,article-specific,temporary publication source check,Temporary-publication synthesis; full issue should rerun source-level fact-checking.,moderate,checked_for_temporary_publication,Codex,2026-06-11,Generated for remaining 2026-Q2 temporary publication set.
2026-Q2,korea-constitutional-court-quiet-institutionalism,"The Constitutional Court's latest-decision page reports that, on provisions of the Assembly and Demonstration Act, the Court found uniform criminal punishment for unnotified outdoor assemblies nonconforming to the Constitution while upholding the prior-notification requirement itself. It also reports a unanimous decision holding unconstitutional the denial of weekend attorney visitation to an arrestee seeking review of the legality of arrest.",institutional,"Constitutional Court of Korea, Latest Decisions",https://english.ccourt.go.kr/site/eng/ex/bbs/List.do?cbIdx=1143,1,2026,qualitative and selected statistical claims,korea,article-specific,temporary publication source check,Temporary-publication synthesis; full issue should rerun source-level fact-checking.,moderate,checked_for_temporary_publication,Codex,2026-06-11,Generated for remaining 2026-Q2 temporary publication set.
2026-Q2,universities-after-generative-ai,"UNESCO's guidance on generative AI in education and research calls for human-centred policy, capacity development, and long-term planning. Stanford's AI Index reports wide differences between expert and public expectations about AI's effects on work. OECD adoption data show AI moving into ordinary organizational use. Universities therefore face a normalizing technology, not a temporary cheating tool.",institutional,"UNESCO, Guidance for generative AI in education and research",https://www.unesco.org/en/articles/guidance-generative-ai-education-and-research,1,2026,qualitative and selected statistical claims,global,article-specific,temporary publication source check,Temporary-publication synthesis; full issue should rerun source-level fact-checking.,moderate,checked_for_temporary_publication,Codex,2026-06-11,Generated for remaining 2026-Q2 temporary publication set.
2026-Q2,culture-of-ai-fatalism,"Stanford's 2026 AI Index reports more complicated public sentiment, including optimism about benefits and nervousness about the technology. OECD adoption data show AI moving from novelty into firms. The UN AI dialogue shows that governance is being discussed, but public culture often experiences such efforts as remote.",institutional,"Stanford HAI, 2026 AI Index Report",https://hai.stanford.edu/ai-index/2026-ai-index-report,1,2026,qualitative and selected statistical claims,global,article-specific,temporary publication source check,Temporary-publication synthesis; full issue should rerun source-level fact-checking.,moderate,checked_for_temporary_publication,Codex,2026-06-11,Generated for remaining 2026-Q2 temporary publication set.
2026-Q2,structural-reading-list,"For macroeconomics, begin with IMF, OECD, and World Bank; for energy, IEA; for displacement, UNHCR; for AI governance, OECD, UN, EU, and Stanford; for democracy, Freedom House and V-Dem; for Korea, BOK, MOEF, the Ministry of Data and Statistics, NEC, and the Constitutional Court.",institutional,"International Monetary Fund, World Economic Outlook, April 2026",https://www.imf.org/en/publications/weo/issues/2026/04/14/world-economic-outlook-april-2026,1,2026,qualitative and selected statistical claims,comparative,article-specific,temporary publication source check,Temporary-publication synthesis; full issue should rerun source-level fact-checking.,moderate,checked_for_temporary_publication,Codex,2026-06-11,Generated for remaining 2026-Q2 temporary publication set.
